Date,Close/Last,Volume,Open,High,Low,Close,SMA_5,SMA_10,SMA_20,EMA_5,EMA_10,EMA_20,RSI,Daily_Return,MACD,MACD_Signal,MACD_Histogram,Bollinger_Middle,Bollinger_Std,Bollinger_Upper,Bollinger_Lower,ATR,OBV,Sentiment
2024-08-07,$209.82,63516420,206.9,213.64,206.39,209.82,212.908,215.911,221.566,212.089,215.281,217.683,40.305,1.25,-1.402,0.945,-2.347,221.566,7.637,236.84,206.292,7.016,911772810.0,0.052
2024-08-08,$213.31,47161150,213.11,214.2,208.83,213.31,211.898,215.493,220.853,212.496,214.922,217.267,45.357,1.663,-1.523,0.451,-1.974,220.853,7.712,236.277,205.429,7.147,958933960.0,0.023
2024-08-09,$216.24,42201650,212.1,216.78,211.97,216.24,211.174,215.321,220.138,213.744,215.162,217.169,49.241,1.374,-1.368,0.087,-1.455,220.138,7.424,234.986,205.29,7.156,1001135610.0,-0.779
2024-08-12,$217.53,38028090,216.07,219.51,215.6,217.53,212.826,215.25,219.295,215.006,215.593,217.203,50.896,0.597,-1.127,-0.155,-0.972,219.295,6.635,232.565,206.025,7.131,1039163700.0,-0.104
2024-08-13,$221.27,44155330,219.01,221.89,219.01,221.27,215.634,215.497,218.617,217.094,216.625,217.591,55.433,1.719,-0.627,-0.25,-0.377,218.617,5.573,229.763,207.471,6.88,1083319030.0,-0.017
2024-08-14,$221.72,41960570,220.57,223.03,219.7,221.72,218.014,215.461,218.259,218.636,217.551,217.984,55.96,0.203,-0.193,-0.238,0.045,218.259,5.088,228.435,208.083,6.672,1125279600.0,0.997
2024-08-15,$224.72,46414010,224.6,225.35,222.76,224.72,220.296,216.097,218.286,220.664,218.855,218.625,59.407,1.353,0.389,-0.113,0.502,218.286,5.122,228.53,208.042,6.683,1171693610.0,0.309
2024-08-16,$226.05,44340240,223.92,226.827,223.65,226.05,222.258,216.716,218.373,222.459,220.163,219.333,60.87,0.592,0.947,0.099,0.848,218.373,5.243,228.859,207.887,6.657,1216033850.0,0.137
2024-08-19,$225.89,40687810,225.72,225.99,223.04,225.89,223.93,218.378,218.47,223.603,221.204,219.957,60.587,-0.071,1.36,0.351,1.009,218.47,5.368,229.206,207.734,6.571,1175346040.0,-0.467
2024-08-20,$226.51,30299030,225.77,227.17,225.45,226.51,224.978,220.306,218.545,224.572,222.169,220.581,61.337,0.274,1.718,0.625,1.093,218.545,5.473,229.491,207.599,6.335,1205645070.0,-0.028
2024-08-21,$226.40,34765480,226.52,227.98,225.05,226.4,225.914,221.964,218.938,225.181,222.938,221.135,61.115,-0.049,1.97,0.894,1.076,218.938,5.748,230.434,207.442,6.012,1170879590.0,0.04
2024-08-22,$224.53,43695320,227.79,228.34,223.9,224.53,225.876,223.086,219.29,224.964,223.228,221.459,57.315,-0.826,1.995,1.114,0.881,219.29,5.869,231.028,207.552,5.765,1127184270.0,-0.231
2024-08-23,$226.84,38677250,225.659,228.22,224.33,226.84,226.034,224.146,219.734,225.589,223.884,221.971,60.576,1.029,2.177,1.327,0.85,219.734,6.095,231.924,207.544,4.339,1165861520.0,0.094
2024-08-26,$227.18,30602210,226.76,227.28,223.89,227.18,226.292,225.111,220.18,226.12,224.484,222.467,61.047,0.15,2.322,1.526,0.796,220.18,6.304,232.788,207.572,3.944,1196463730.0,0.105
2024-08-27,$228.03,35934560,225.995,228.85,224.89,228.03,226.596,225.787,220.642,226.756,225.128,222.997,62.263,0.374,2.477,1.716,0.761,220.642,6.531,233.704,207.58,3.709,1232398290.0,-0.06
2024-08-28,$226.49,38052170,227.92,229.86,225.68,226.49,226.614,226.264,220.862,226.668,225.376,223.33,58.69,-0.675,2.447,1.862,0.585,220.862,6.655,234.172,207.552,3.624,1194346120.0,-0.13
2024-08-29,$229.79,51906300,230.1,232.92,228.88,229.79,227.666,226.771,221.434,227.708,226.179,223.945,63.521,1.457,2.659,2.022,0.637,221.434,6.915,235.264,207.604,3.74,1246252420.0,0.056
